Designator,Mid X,Mid Y,Rotation,Layer
_29,33.0,112.1,0.0,top
_28,7.0,112.1,0.0,top
_27,5.0,28.5,0.0,top
_26,33.0,96.1,0.0,top
_25,7.0,49.1,0.0,top
_24,33.0,49.1,0.0,top
_23,33.0,64.6,0.0,top
_22,33.0,80.1,0.0,top
_21,20.0,96.4,0.0,top
_20,17.0,53.0,0.0,top
_19,20.05,108.1,0.0,top
_18,15.0,15.5,0.0,top
_17,17.0,58.0,0.0,top
_16,17.0,115.5,0.0,top
_15,35.0,15.5,0.0,top
_14,15.0,28.5,0.0,top
_13,23.0,115.5,0.0,top
_12,25.0,15.5,0.0,top
_11,7.0,64.6,0.0,top
_10,7.0,64.6,0.0,top
_9,7.0,96.1,0.0,top
_8,5.0,15.5,0.0,top
_7,19.9,71.6,0.0,top
_6,25.0,28.5,0.0,top
_5,17.0,48.0,0.0,top
_4,20.0,82.1,0.0,top
_3,17.0,63.0,0.0,top
_2,7.0,80.1,0.0,top
,35.0,28.5,0.0,top
