Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C14, C2, C3, C4, C6",1206,6,22uF,
"C10, C11, C13, C15, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C29, C30, C33, C36, C37, C38, C39, C44, C5, C9",0402,25,100n,
C12,0402,1,10u,
"C16, C46, C47, C48, C49, C50, C51",0603,7,4u7F,
"C28, C32, C7, C8",0402,4,1n,
"C31, C35",0402,2,33p,
"C40, C41, C42, C43",0402,4,100p,
"C52, C53",0603,2,2.2uF,
"D1, D2, D3, D4, D7, D8",D_SOD-123,6,B5819W SL,C8598
D10,LED_D5.0mm-4_RGB_Wide_Pins,1,LED_ARGB,
D5,D_SOD-123,1,1N4148W,
"D6, D9",0805,2,C2290,
FB1,0402,1,BLM15H,
J1,IDC-Header_2x05_P2.54mm_Vertical,1,Eurorack Power,
J10,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,IN4,
J11,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,OUT1,
J12,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,OUT2,
J13,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,OUT3,
J14,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,OUT4,
J2,UJ20-C-V-C-2-SMT-TR,1,USB_C_Receptacle_USB2.0_16P,
"J3, J4, J5, J6",PinHeader_1x04_P2.54mm_Vertical_SMD_Pin1Left,4,Conn_01x04,
J7,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,IN1,
J8,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,IN2,
J9,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,IN3,
"R1, R10, R11, R12, R6, R7, R8",0402,7,10k,
R13,0402,1,2k,
"R14, R15",0402,2,5k1,
"R16, R32, R33, R4",0402,4,33k,
"R17, R2, R21, R38, R42, R5, R51, R57",0402,8,200k,
"R18, R19",0402,2,27R,
"R20, R22, R3, R35, R44, R53, R59, R9",0402,8,100k,
"R23, R26, R27, R28, R34, R37, R41, R48, R50, R54, R56, R60, R66",0402,13,1k,
"R24, R29, R30, R31",0402,4,2k2,
R25,0402,1,0R,
"R36, R43, R52, R58",0402,4,27k,
"R39, R40, R49, R55",0402,4,4k7,
"R45, R46",0402,2,100R,
R47,0402,1,1k5,
"R61, R62, R63, R64, R65",0402,5,33R,
"RV1, RV2, RV3, RV4",Potentiometer_Alps_RK09K_Single_Vertical_DSHAFT,4,B10k,
U1,SOT-223-3_TabPin2,1,AMS1117-5.0,
U10,SOT-23-6,1,USBLC6-2SC6,
U11,SOT-23,1,LM4040DBZ-10,
"U12, U13",SOIC-8_3.9x4.9mm_P1.27mm,2,MCP6002-I-SN,
"U16, U17",SOIC-8_3.9x4.9mm_P1.27mm,2,TL072,
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,
U3,QFN-36_L6.0-W6.0-P0.50-TL-EP4.1,1,APM32F103TBU6,C526179
U4,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,1,LR8103A-T12,C7501644
U5,TSSOP-10_3x3mm_P0.5mm,1,ADS1015IDGS,C193969
U6,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q32JVSSIQ,
U7,VFQFN-32_L5.0-W5.0-P0.50-TL-EP3.7,1,AK4619VN,C3034747
U8,QFN-48_L7.0-W7.0-P0.50-TL-EP5.4-1,1,ICE40UP5K-SG48I,C2678152
U9,SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,1,M24C64,C79988
X1,OSC-SMD_4P-L3.2-W2.5-BL-1,1,SX3M49.152M20F30TNN,C2901591
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,X322512MSB4SI,
